id,name,address,city,latitude,longitude,amount,customers
1,98 Willoughby Check Cashing,98 Willoughby St,Brooklyn,40.69191,-73.984772,507832.32,5094
2,Farmingdale Check Cashing Co,9726 Seaview Ave,Brooklyn,40.634135,-73.888967,260320.09,130
3,Action Check Cashing Corp,9716 Church Ave,Brooklyn,40.656338,-73.913971,83784.18,9674
4,Pay-O-Matic,961 Pennsylvania Ave,Brooklyn,40.65499,-73.88777,2711.16,457
5,Cash Business Marketing & At,948 Dumont Ave,Brooklyn,40.667847,-73.883615,346972.82,9192
6,ABRS Check Cashing,946 4th Ave,Brooklyn,40.654713,-74.004494,365875.3,6216
7,Cash Business Marketing,933 Livonia Ave,Brooklyn,40.666484,-73.882812,788909.99,2218
8,Flatlands Check Cashing Corp,923 E 107th St,Brooklyn,40.64803,-73.892753,191851.16,5927
9,ABRS Check Cashing,92 Court St,Brooklyn,40.691179,-73.991713,127307.63,3103
10,M & B Check Cashing Corp,916 Utica Ave,Brooklyn,40.650646,-73.930327,573130.28,64
11,Ridge Check Cashing Corp,906 Fulton St,Brooklyn,40.683001,-73.964789,630311.17,9804
12,Bayhurst Check Cashing,9014 4th Ave,Brooklyn,40.619566,-74.029962,330112.21,8901
13,Cash Business Marketing,894 Myrtle Ave,Brooklyn,40.69561,-73.946795,319685.13,1349
14,Jem Group ATM,892 Dekalb Ave,Brooklyn,40.692404,-73.940228,758049.14,1045
15,Bush Capital,889 4th Ave,Brooklyn,40.655597,-74.002541,497795.84,1469
16,Ridge Check Cashing Corp,884 5th Ave,Brooklyn,40.651611,-74.003929,571614.29,7955
17,Fourth Avenue Check Cashing,88 4th Ave,Brooklyn,40.681814,-73.980459,267817.77,9082
18,Laser Check Cashing,88 4th Ave,Brooklyn,40.681814,-73.980459,82771.45,9728
19,Action Check Cashing,857 Bedford Ave,Brooklyn,40.694505,-73.956085,658100.8,794
20,Check Changers LLC,8405 20th Ave,Brooklyn,40.605625,-73.997135,98783.55,3392
21,Pay-O-Matic,840 Franklin Ave # A,Brooklyn,40.669361,-73.958755,704180.04,6666
22,Ridge Check Cashing Corp,84 Flatbush Ave,Brooklyn,40.685996,-73.979013,544358.32,8731
23,Pay-O-Matic,832 Washington Ave,Brooklyn,40.673138,-73.963211,869183.55,8408
24,Bayhurst Check Cashing,8317 5th Ave,Brooklyn,40.623016,-74.025002,279196.62,8652
25,Atlantic Amoco,811 Atlantic Ave,Brooklyn,40.68182,-73.967258,748635.48,8838
26,B & H Check Cashing,805 Grand St # A,Brooklyn,40.712132,-73.94117,237572.56,8847
27,Flatlands Check Cashing,8001 Flatlands Ave,Brooklyn,40.635589,-73.913367,708964.22,7089
28,Check Cashing Place,785 Broadway # 1,Brooklyn,40.700233,-73.940506,950327.77,9586
29,Quick Cash,782 Washington Ave,Brooklyn,40.674499,-73.963378,646571.9,3046
30,David's Money Ctr Of New Yor,752 New Lots Ave,Brooklyn,40.666122,-73.882673,794321.49,2869
31,Ridge Check Cashing Corp,7510 3rd Ave,Brooklyn,40.631193,-74.028176,364895.24,7423
32,Pay-O-Matic,75 Classon Ave,Brooklyn,40.697925,-73.961727,628428.49,4079
33,PLS Check Cashers,729 4th Ave,Brooklyn,40.661006,-73.997265,294217.74,6618
34,INB Check Cashing Svc Inc,727 Utica Ave,Brooklyn,40.65551,-73.930729,332836.55,4111
35,Csfc,713 Church Ave,Brooklyn,40.645817,-73.972763,547604.97,9083
36,Pay-O-Matic,706 Ralph Ave,Brooklyn,40.665507,-73.922423,44240.07,9176
37,Check Cashing Place,705 60th St,Brooklyn,40.636671,-74.01142,60954.03,5720
38,Check Cashing Place,7011 18th Ave,Brooklyn,40.615868,-73.993118,704258.24,3727
39,Cash Systems Efs Inc,690 5th Ave,Brooklyn,40.661682,-73.993408,432980.55,3129
40,Pay-O-Matic,687 Stanley Ave,Brooklyn,40.659622,-73.883407,575478.96,1092
41,Pls Check Cashing Corp,6817 4th Ave,Brooklyn,40.634705,-74.023148,229645.08,257
42,Cash Zone LLC,68 Jay St,Brooklyn,40.702778,-73.987129,247758.16,1877
43,Pay-O-Matic,653 Classon Ave # A,Brooklyn,40.677938,-73.958647,689291.54,4380
44,Ridge Check Cashing Corp,6516 Bay Pkwy,Brooklyn,40.613586,-73.982071,470369.58,6528
45,Quik Cash,643 Marcy Ave,Brooklyn,40.692505,-73.948575,797635.99,1466
46,Pay-O-Matic,642 Nostrand Ave # C,Brooklyn,40.676269,-73.949954,237709.43,6652
47,Kingston Check Cashing,6301 Fort Hamilton Pkwy,Brooklyn,40.631573,-74.007735,405795.7,5128
48,NYC Financial Svc,6218 New Utrecht Ave,Brooklyn,40.62576,-73.997171,218410.09,5485
49,Fast Cash Enterprise,616 4th Ave,Brooklyn,40.664907,-73.993774,278087.34,7809
50,Checks Spring Finincial Svc,615 Livonia Ave,Brooklyn,40.664879,-73.894485,825619.04,801
51,Pay-O-Matic,593 Myrtle Ave,Brooklyn,40.69428,-73.960445,46445.3,879
52,Fast Cash Enterprise,587 Flatbush Ave,Brooklyn,40.659259,-73.960489,818278.32,4838
53,Church Check Cashing,5824 Church Ave,Brooklyn,40.652227,-73.922047,889377.27,9658
54,East Red Money Gram Inc,5814 8th Ave,Brooklyn,40.636475,-74.008911,527691.95,4363
55,David's Check Cashing,581 Sutter Ave,Brooklyn,40.669208,-73.897517,70349.7,7986
56,Argo Check Cashing Corp,581 Clinton St,Brooklyn,40.676657,-74.000839,226701.97,8076
57,Pay-O-Matic,581 4th Ave,Brooklyn,40.66543,-73.99238,182216.69,4462
58,Pay-O-Matic,5805 4th Ave # 1,Brooklyn,40.641674,-74.017097,482147.11,7767
59,Cash Unlimited,580 Albany Ave,Brooklyn,40.660428,-73.940101,285693.99,2760
60,ABRS Check Cashing,5702 Clarendon Rd,Brooklyn,40.644611,-73.922539,613056.7,1934
61,Harlan Check Cashing,57 Front St # 1,Brooklyn,40.702704,-73.993143,250347.26,9875
62,Green Acres Cash,56 74th St,Brooklyn,40.633584,-74.034542,230777.41,7863
63,Island Check Cashing,553 Grand St,Brooklyn,40.711376,-73.949417,994261.52,6148
64,Pay-O-Matic,553 Grand St,Brooklyn,40.711376,-73.949417,160289.57,7466
65,Check Cashing Svc,553 Flatbush Ave,Brooklyn,40.66041,-73.960584,205761.54,3520
66,Factor Check,5519 New Utrecht Ave,Brooklyn,40.630943,-73.995399,179664,8111
67,Community Check Cashing Inc,5408 16th Ave,Brooklyn,40.628229,-73.988729,897572.74,1880
69,Family Financial Ctr,532 Gates Ave,Brooklyn,40.686861,-73.944566,517920.98,3372
70,Pay-O-Matic,531 Eastern Pkwy,Brooklyn,40.670095,-73.9505,623093.1,1088
71,Cfsc,523 Flushing Ave,Brooklyn,40.699566,-73.954124,433664.95,3022
72,Quick Cash Inc,5215 Avenue D,Brooklyn,40.642335,-73.926848,701675.78,5414
73,Pay-O-Matic,5215 4th Ave,Brooklyn,40.644794,-74.013786,410494.02,1284
74,Fast Cash Enterprise,513 5th Ave,Brooklyn,40.666915,-73.988114,8272.48,9133
75,Cash Business Marketing & At,512 Van Siclen Ave,Brooklyn,40.667084,-73.888939,928763.3,4296
76,Cashzone Check Cashing,5101 13th Ave,Brooklyn,40.63385,-73.99326,260867.24,512
77,Passion Into Practice,509 11th St,Brooklyn,40.665588,-73.981812,480636.75,6400
78,Pay-O-Matic,508 Clarkson Ave,Brooklyn,40.65564,-73.942558,908251.03,7534
79,Quick Cash Inc,504 Classon Ave,Brooklyn,40.683105,-73.959106,811596.15,6593
80,AVW Check Cashing Corp,4918 Avenue K,Brooklyn,40.625763,-73.928016,423131.62,1460
81,Ali Dav Assoc Inc,4822 8th Ave,Brooklyn,40.641972,-74.003235,680576.33,2688
82,Fast Cash Enterprise,4801 8th Ave,Brooklyn,40.642089,-74.00238,254705.17,2894
83,Fifth Avenue Check Cashing,4706 5th Ave,Brooklyn,40.646698,-74.008757,234732.77,4093
84,Bandco Check Cashing Svc Inc,4615 Avenue D,Brooklyn,40.642173,-73.932643,623311.43,625
85,David's Check Cashing,460 Rockaway Ave,Brooklyn,40.668674,-73.910788,973042.06,8764
86,Merchant Cash Now LTD,4518 3rd Ave,Brooklyn,40.650185,-74.012321,112188.49,4724
87,Island Check Cashing 112,451 Broadway,Brooklyn,40.706718,-73.952148,931697.46,8557
88,Pay-O-Matic,451 Broadway,Brooklyn,40.706718,-73.952148,590243.65,1782
89,Pay-O-Matic,451 Broadway,Brooklyn,40.706718,-73.952148,746404.05,7856
90,Sunset Check Cashing Inc,4424 3rd Ave,Brooklyn,40.650822,-74.011986,348660.96,9080
91,CFSC,4418 Fort Hamilton Pkwy,Brooklyn,40.64061,-73.994858,495188.19,2131
92,Alidav Associates,4401 New Utrecht Ave,Brooklyn,40.640526,-73.994256,779490.98,4218
93,Vale Checking Of NY Inc,44 Hoyt St,Brooklyn,40.68935,-73.986175,243904.75,3250
94,Cash #4 Tronics,439 Crescent St # 5,Brooklyn,40.678186,-73.870631,424596.84,5537
95,Kingston Check Cashing,433 Kingston Ave,Brooklyn,40.664215,-73.942413,815136.16,7597
96,Sutter Avenue Check Cashing,424 Sutter Ave # A,Brooklyn,40.667907,-73.903198,29054.78,2348
97,Challenger Check Cashing,423 Utica Ave,Brooklyn,40.663983,-73.931516,853400.66,5424
98,Cfsc,4229 18th Ave,Brooklyn,40.631238,-73.976007,819240.33,9718
99,Challenger Check Cashing,407 Utica Ave,Brooklyn,40.664558,-73.931168,519506.48,5169
100,397 Bridge St Check Cashing,397 Bridge St # 2,Brooklyn,40.691327,-73.985056,700270.06,4824
101,Action Check Cashing Inc,383 Bushwick Ave,Brooklyn,40.703831,-73.937889,834453.04,3165
102,United Check Cashing,382 Mother Gaston Blvd,Brooklyn,40.66972,-73.907227,792006.04,3616
103,Metropolitan Check Cashing,381 Metropolitan Ave,Brooklyn,40.714287,-73.955353,315159.71,2309
104,Cash It Corp,380 Ralph Ave,Brooklyn,40.675858,-73.922211,384836.13,5824
105,Fast Cash Enterprise,372 Livingston St,Brooklyn,40.687413,-73.980136,23327.4,1658
106,Quick Cash,372 Central Ave,Brooklyn,40.694098,-73.918249,712762.66,4904
107,JWJ Check Cashing Corp,369 Mother Gaston Blvd,Brooklyn,40.670082,-73.906441,127681.93,8009
108,David's Check Cashing Inc,365 Central Ave,Brooklyn,40.694198,-73.918228,492232.75,1435
109,Pay-O-Matic,364 Graham Ave # A,Brooklyn,40.715211,-73.944438,724016.56,3188
110,Davila Associates Inc,361 Court St,Brooklyn,40.681892,-73.996065,157093.15,8032
111,Pay-O-Matic,359 Nostrand Ave,Brooklyn,40.68586,-73.950378,304624.42,7383
112,Cfsc,350 Kings Hwy,Brooklyn,40.604589,-73.977358,34706.47,7702
113,CHECKSPRING Financial Svc,348 Liberty Ave,Brooklyn,40.67427,-73.897109,506069.67,8708
114,Pay-O-Matic,346 7th Ave,Brooklyn,40.666561,-73.982193,53564.96,1087
115,Alivad Associates Inc,3419 14th Ave,Brooklyn,40.641628,-73.98143,7415.69,8001
116,Action Check Cashing Corp,337 Knickerbocker Ave # 7,Brooklyn,40.701157,-73.922389,995085.76,620
117,Khartoom Gram Inc,327 Atlantic Ave,Brooklyn,40.688266,-73.987597,284595.89,2659
118,Fast Cash Enterprise,3038 Neptune Ave,Brooklyn,40.577421,-73.997894,26806.29,2871
119,Vam Check Cashing Corp,2930 Atlantic Ave,Brooklyn,40.677235,-73.886185,108473.5,8343
120,David's Check Cashing,2912 Stillwell Ave,Brooklyn,40.576469,-73.981507,676500.49,9710
121,Cash Unlimited,291 Tompkins Ave,Brooklyn,40.687941,-73.944766,752489.08,8983
122,Pay-O-Matic,286 Brighton Beach Ave,Brooklyn,40.576694,-73.964394,508628.95,101
123,Hilton Check Cashing,283 Van Brunt St,Brooklyn,40.678971,-74.010627,857968.27,3569
124,David's Money Ctr-Bensonhurs,2801 86th St,Brooklyn,40.592934,-73.978838,97375.75,7499
125,Check Cashing,28 N 3rd St,Brooklyn,40.718206,-73.964474,495910.52,4003
126,Cebco Check Cashier Corp,278 Knickerbocker Ave # A,Brooklyn,40.701931,-73.924332,259709.31,4747
127,Pine Check Cashing Corp,2751 Pitkin Ave,Brooklyn,40.675847,-73.870596,249514.93,9356
128,Cash Point Of Ny,2728 Mermaid Ave,Brooklyn,40.575573,-73.993871,454530.15,3678
129,Cash ATM Systems,2616 Ocean Pkwy,Brooklyn,40.586201,-73.966896,582829.35,3039
130,Cash Marketing ATM,2596 Linden Blvd,Brooklyn,40.668405,-73.86865,366858.68,6775
131,Pay-O-Matic,254 Livonia Ave,Brooklyn,40.66251,-73.908143,114859.41,798
132,Pay-O-Matic,254 Kingston Ave,Brooklyn,40.670823,-73.942394,199201.88,2414
133,Checks & More,252 9th St,Brooklyn,40.670242,-73.989098,381044.28,8656
134,R & M Check Cashing Corp,25 Willoughby St,Brooklyn,40.6923,-73.987594,505219.82,5509
135,Quick Cash Inc,25 Putnam Ave,Brooklyn,40.682827,-73.960893,342718.94,7658
136,Cash To Go Atm LLC,25 Bond St,Brooklyn,40.688861,-73.983263,337834.63,6351
137,Pay-O-Matic,2488 Linden Blvd,Brooklyn,40.666296,-73.871778,835420.51,1834
138,Alivad Associates,2471 84th St,Brooklyn,40.599406,-73.986108,329437.82,3315
139,Abrs Check Cashing,241 Rockaway Pkwy # C,Brooklyn,40.661385,-73.920054,633527.4,9001
140,Fast Cash Enterprises Inc,24 Joralemon St,Brooklyn,40.693776,-73.998889,207178.9,8141
141,I & B Check Cashing,2346 Flatbush Ave,Brooklyn,40.61272,-73.926369,276381.15,8913
142,Pay-O-Matic,2323 Mermaid Ave,Brooklyn,40.576214,-73.990906,737560.93,5462
143,S & E Check Cashing Corp,2304 86th St,Brooklyn,40.600467,-73.991502,101209.65,9669
144,Checks & More,230 Flatbush Ave,Brooklyn,40.68045,-73.97522,516116.21,92
145,Maxilink Enterprise Inc,229 Malcolm X Blvd,Brooklyn,40.68512,-73.929199,118058.96,1747
146,All Island Cash Svc,228 Albany Ave,Brooklyn,40.672717,-73.939148,19746.75,6378
147,Cash Unlimited,226 Utica Ave,Brooklyn,40.671036,-73.931221,77006.5,1111
148,Roebling Check Cashing,224 Broadway,Brooklyn,40.709384,-73.960816,448068.48,5659
149,Pay-O-Matic,2193 Bedford Ave,Brooklyn,40.650337,-73.955544,980794.48,1849
150,Shettlewood Inc,2190 Pitkin Ave,Brooklyn,40.672287,-73.891548,323710.11,2009
151,Community Financial Svc Ctr,214 Parkside Ave,Brooklyn,40.655277,-73.960726,46138.9,1700
152,Express Payment Ctr,2129 Flatbush Ave,Brooklyn,40.618042,-73.931765,816546.3,2733
153,Cash Empire,2120 Nostrand Ave,Brooklyn,40.633677,-73.947992,497793.75,3889
154,Pay-O-Matic,2107 Bath Ave,Brooklyn,40.600002,-73.9991,307115.9,9877
155,Checks & More,205 5th Ave,Brooklyn,40.676455,-73.980365,977695.41,4367
156,Xpress Cash Funding,2004 Mcdonald Ave,Brooklyn,40.603535,-73.972633,688167.67,399
157,P Omatic Check Cashing,1993 Atlantic Ave,Brooklyn,40.676767,-73.916454,374350.68,9793
158,Pay-O-Matic,1908 Church Ave # 100,Brooklyn,40.649685,-73.961792,988476.16,5013
159,Cash Unlimited,188 Parkside Ave,Brooklyn,40.654888,-73.961205,21437.5,6062
160,Pay-O-Matic,1878 Fulton St,Brooklyn,40.678753,-73.924271,764717.57,7430
161,Bandco Check Cashing Svc,1826 Nostrand Ave,Brooklyn,40.641312,-73.948881,750302.41,6418
162,CLB,1818 Kings Hwy,Brooklyn,40.610146,-73.954921,447217.22,2198
163,Money Tree Capital Group,1812 Bath Ave,Brooklyn,40.603451,-74.00589,326059.31,2170
164,B Barry Check Cashing,1799 Broadway,Brooklyn,40.682137,-73.908577,12361,3775
165,Checks & More,1775 Flatbush Ave,Brooklyn,40.626839,-73.940979,9668.72,7484
166,Challenger Check Cashing,1772 Ralph Ave # B,Brooklyn,40.6333,-73.919189,342253.54,2673
167,Pay-O-Matic,1756 Bushwick Ave,Brooklyn,40.678612,-73.898718,345437.81,6507
168,Cash Business Mrktng,1737 Saint Marks Ave,Brooklyn,40.673235,-73.909358,611178.88,1640
169,Fast Cash Enterprise Inc,172 Bushwick Ave,Brooklyn,40.70962,-73.940223,647006.97,5220
170,York Street Check Cashers,171 Bainbridge St,Brooklyn,40.681275,-73.930351,36742.6,3860
171,Checks & More,1708 Atlantic Ave # A,Brooklyn,40.677444,-73.933403,578858.82,5452
172,Flatbush Check Cashing Inc,1671 Bedford Ave,Brooklyn,40.665723,-73.956787,382229.18,2696
173,Fast Cash USA Inc,166 N 7th St,Brooklyn,40.717594,-73.957433,622048.08,4229
174,S E Check Cashing,1650 Bay Ridge Pkwy,Brooklyn,40.615485,-73.999541,410855.93,411
175,Pay-O-Matic,1638 Coney Island Ave,Brooklyn,40.617371,-73.964149,624968.84,1574
176,Pay-O-Matic,160 Rockaway Ave,Brooklyn,40.677715,-73.910946,710394.64,4570
177,Pay-O-Matic,1588 Fulton St,Brooklyn,40.679493,-73.937309,572302.11,6337
178,Davila Associates Inc,158 Smith St,Brooklyn,40.686387,-73.991022,310361.19,8300
179,Pay-O-Matic,158 Marcus Garvey Blvd,Brooklyn,40.693085,-73.940121,916189.23,4732
180,Pay-O-Matic,1569 Pitkin Ave,Brooklyn,40.669047,-73.915366,30110.04,7446
181,Fast Cash USA Inc,156 Havemeyer St,Brooklyn,40.711427,-73.957709,33176.43,6097
182,Bedford Enterprises,1550 Bedford Ave,Brooklyn,40.669605,-73.955727,95379.09,4204
183,David's Check Cashing,1534 Myrtle Ave,Brooklyn,40.699409,-73.912067,475344.48,8913
184,POMCLB Check Cashing Inc,1532 Utica Ave,Brooklyn,40.63453,-73.928603,118780.37,3716
185,Checks & More,1529 Flatbush Ave,Brooklyn,40.633734,-73.948243,450756.32,5339
186,Pay-O-Matic,151 Vanderbilt Ave,Brooklyn,40.693404,-73.969833,623872.64,4370
187,Check Cashing Place,1503 Newkirk Ave,Brooklyn,40.635841,-73.963203,375270.32,903
188,Island Check Cashing,1501 Pitkin Ave # C,Brooklyn,40.66862,-73.918233,741645.27,9661
189,Fast Cash USA Inc,149 Havemeyer St,Brooklyn,40.711616,-73.957461,181586.94,5879
190,Cash Unlimited,1486 Flatbush Ave,Brooklyn,40.634506,-73.949905,112532.32,7398
191,Fast Cash USA Inc,145 Franklin St,Brooklyn,40.731349,-73.957905,702787.15,8018
192,Abrs Check Cashing,1446 Nostrand Ave,Brooklyn,40.651059,-73.949853,342052.63,4343
193,Pay-O-Matic,1445 Saint Johns Pl,Brooklyn,40.670868,-73.930244,227597.37,1256
194,PLS Check Cashers,1445 Myrtle Ave,Brooklyn,40.699051,-73.917953,790225.02,5513
195,Pay-O-Matic,1441 Saint Johns Pl,Brooklyn,40.670868,-73.930244,462377.04,4726
196,David's Check Cashing,1431 Broadway,Brooklyn,40.688244,-73.919766,359631.91,8467
197,Fast Cash Enterprise Inc,1430 Rockaway Pkwy,Brooklyn,40.645148,-73.902403,155426.66,585
198,Flatlands Checking,1427 Linden Blvd,Brooklyn,40.654936,-73.906977,989756.09,7291
199,Flatland Checking,1411 Rockaway Pkwy,Brooklyn,40.645595,-73.902742,870432.61,8333
200,Best Ever Checks,1350 46th St,Brooklyn,40.635754,-73.98926,239058.16,4246
201,B & H Check Cashing Svc,135 Wyckoff Ave # B,Brooklyn,40.704166,-73.918503,732577.69,1316
202,Cash Unlimited,1324 Broadway,Brooklyn,40.69016,-73.923331,88278.26,9864
203,Dependable Check Cashing,1313 Avenue J,Brooklyn,40.625294,-73.962791,205143.35,8333
204,Atm Business CTR Inc,130 Division Ave # A,Brooklyn,40.707493,-73.962845,686210.79,8844
205,Pay-O-Matic,1294 Fulton St,Brooklyn,40.680325,-73.94913,951839.74,2154
206,Atm Business Ctr,128 Bedford Ave,Brooklyn,40.71946,-73.956276,739228.18,681
207,G & J Check Cashing Corp,1279 E 100th St,Brooklyn,40.638872,-73.891089,85627.41,9999
208,Cash Unlimited Inc,1278 Nostrand Ave,Brooklyn,40.655911,-73.950378,693302.73,7642
209,Reliable Check Cashing II,1277 39th St,Brooklyn,40.640741,-73.986386,933368.44,8613
210,Reliable Check Cashing,1275 50th St,Brooklyn,40.63469,-73.992987,299485.78,1520
211,Reliable Check Cashing II,1275 39th St,Brooklyn,40.641014,-73.986524,529526.56,4124
212,Ridge Check Cashing Corp,1274 Nostrand Ave,Brooklyn,40.656029,-73.950409,840858.55,4532
213,Abrs Check Cashing Corp,1271 Ralph Ave,Brooklyn,40.645066,-73.919919,900160.39,5889
214,C L B Check Cashing Corp,1267 Flatbush Ave,Brooklyn,40.639378,-73.954448,621478.97,5074
215,Pay-O-Matic,126 Graham Ave,Brooklyn,40.705678,-73.942609,983100.85,5359
216,Quick Cash Of Graham Avenue,125 Graham Ave,Brooklyn,40.706096,-73.943299,50931.18,7187
217,David's Check Cashing,1234 Broadway,Brooklyn,40.691645,-73.925931,719750.73,1824
218,H & S Check Cashing Svc,117 57th St,Brooklyn,40.646347,-74.022484,729809.98,7961
